t,theta,omega
0.116,3.227745987759245,1.967634754796712
0.117,3.2297146066574745,1.9684827211986666
0.118,3.2316840739462296,1.9693500134295037
0.119,3.233654408961005,1.9702366364048047
0.12,3.2356256310422147,1.9711425951493422
0.121,3.2375977595352983,1.9720678947968018
0.122,3.2395708137908326,1.9730125405894985
0.123,3.241544813164639,1.9739765378780856
0.124,3.2435197770178923,1.9749598921212577
0.125,3.245495724717229,1.975962608885447
0.126,3.247472675634854,1.976984693844513
0.127,3.24945064914865,1.9780261527794265
0.128,3.251429664642283,1.9790869915779445
0.129,3.2534097415053096,1.980167216234282
0.13,3.255390899133284,1.9812668328487741
0.131,3.2573731569278634,1.982385847627533
0.132,3.2593565342969146,1.9835242668820972
0.133,3.2613410506546185,1.9846820970290757
0.134,3.2633267254215763,1.9858593445897834
0.135,3.2653135780249136,1.9870560161898707
0.136,3.267301627898385,1.9882721185589463
0.137,3.2692908944824786,1.9895076585301925
0.138,3.271281397224518,1.9907626430399745
0.139,3.2732731555787673,1.9920370791274415
0.14,3.2752661890065333,1.9933309739341225
0.141,3.2772605169762676,1.9946443347035128
0.142,3.2792561589636695,1.9959771687806553
0.143,3.2812531344517866,1.9973294836117148
0.144,3.283251462931116,1.9987012867435432
0.145,3.2852511638997064,2.0000925858232392
0.146,3.2872522568632565,2.0015033885977007
0.147,3.2892547613352163,2.0029337029131686
0.148,3.2912586968368855,2.004383536714766
0.149,3.2932640828975135,2.0058528980460264
0.15,3.295270939054397,2.0073417950484176
0.151,3.2972792848529777,2.0088502359608564
0.152,3.2992891398469415,2.010378229119217
0.153,3.3013005235983135,2.011925782955831
0.154,3.3033134556775554,2.0134929059989797
0.155,3.3053279556636617,2.015079606872381
0.156,3.307344043144255,2.0166858942946644
0.157,3.30936173771568,2.0183117770788432
0.158,3.3113810589831005,2.019957264131775
0.159,3.31340202656059,2.021622364453617
0.16,3.3154246600712276,2.023307087137272
0.161,3.3174489791471893,2.0250114413678273
0.162,3.319475003429841,2.0267354364219856
0.163,3.32150275256983,2.0284790816674874
0.164,3.323532246227176,2.030242386562525
0.165,3.325563504071362,2.0320253606551515
0.166,3.3275965457814225,2.0338280135826765
0.167,3.329631391046036,2.0356503550710587
0.168,3.3316680595636106,2.037492394934287
0.169,3.3337065710423737,2.039354143073754
0.17,3.3357469452004587,2.041235609477623
0.171,3.3377892017659927,2.0431368042201834
0.172,3.3398333604771815,2.0450577374612013
0.173,3.3418794410823964,2.046998419445258
0.174,3.343927463340258,2.048958860501083
0.175,3.3459774470197208,2.050939071040877
0.176,3.3480294119001566,2.052939061559625
0.177,3.350083377771438,2.054958842634403
