t,theta,omega
0.064,1.9931673127061222,-0.21691406063100446
0.065,1.9929502901522993,-0.2203104216157268
0.066,1.992729869538745,-0.22370711252910033
0.067,1.9925060505353656,-0.22710413837289636
0.068,1.992278832807063,-0.2305015041417211
0.069,1.9920482160137425,-0.2338992148229028
0.07,1.991814199810319,-0.23729727539637868
0.071,1.991576783846725,-0.24069569083458192
0.072,1.9913359677679188,-0.2440944661023283
0.073,1.9910917512138906,-0.2474936061567028
0.074,1.9908441338196714,-0.25089311594694613
0.075,1.9905931152153402,-0.2542930004143411
0.076,1.9903386950260327,-0.25769326449209873
0.077,1.9900808728719483,-0.2610939131052444
0.078,1.9898196483683597,-0.26449495117050364
0.079,1.9895550211256199,-0.26789638359618817
0.08,1.989286990749171,-0.27129821528208126
0.081,1.9890155568395533,-0.2747004511193234
0.082,1.9887407189924133,-0.2781030959902975
0.083,1.9884624767985126,-0.2815061547685142
0.084,1.988180829843737,-0.284909632318497
0.085,1.987895777709105,-0.28831353349566685
0.086,1.987607319970778,-0.2917178631462272
0.087,1.987315456200068,-0.29512262610704837
0.088,1.9870201859634482,-0.29852782720555204
0.089,1.9867215088225616,-0.3019334712595956
0.09,1.9864194243342312,-0.30533956307735605
0.091,1.9861139320504693,-0.3087461074572142
0.092,1.9858050315184874,-0.3121531091876381
0.093,1.9854927222807064,-0.31556057304706703
0.094,1.9851770038747658,-0.3189685038037946
0.095,1.9848578758335351,-0.3223769062158522
0.096,1.984535337685123,-0.32578578503089195
0.097,1.984209388952888,-0.3291951449860699
0.098,1.9838800291554495,-0.33260499080792844
0.099,1.9835472578066977,-0.336015327212279
0.1,1.983211074415805,-0.3394261589040845
0.101,1.9828714784872359,-0.3428374905773415
0.102,1.982528469520759,-0.34624932691496213
0.103,1.9821820470114575,-0.34966167258865616
0.104,1.9818322104497406,-0.3530745322588124
0.105,1.9814789593213549,-0.3564879105743803
0.106,1.9811222931073953,-0.3599018121727512
0.107,1.9807622112843175,-0.3633162416796394
0.108,1.980398713323949,-0.3667312037089631
0.109,1.9800317986935005,-0.37014670286272516
0.11,1.9796614668555794,-0.3735627437308934
0.111,1.9792877172682002,-0.376979330891281
0.112,1.9789105493847974,-0.38039646890942674
0.113,1.9785299626542379,-0.3838141623384747
0.114,1.9781459565208328,-0.3872324157190542
0.115,1.9777585304243506,-0.39065123357915904
0.116,1.9773676838000294,-0.394070620434027
0.117,1.97697341607859,-0.39749058078601884
0.118,1.976575726686248,-0.40091111912449723
0.119,1.9761746150447284,-0.4043322399257054
0.12,1.9757700805712768,-0.40775394765264555
0.121,1.975362122678674,-0.41117624675495723
0.122,1.9749507407752487,-0.41459914166879525
0.123,1.9745359342648914,-0.41802263681670754
0.124,1.974117702547068,-0.4214467366075128
0.125,1.973696045016833,-0.4248714454361778
0.126,1.973270961064844,-0.42829676768369457
0.127,1.9728424500773754,-0.4317227077169574
0.128,1.9724105114363324,-0.43514926988863956
0.129,1.9719751445192653,-0.4385764585370696
0.13,1.971536348699384,-0.44200427798610786
0.131,1.9710941233455725,-0.4454327325450224
0.132,1.9706484678224034,-0.44886182650836487
0.133,1.9701993814901524,-0.4522915641558459
0.134,1.9697468637048132,-0.4557219497522108
0.135,1.969290913818113,-0.45915298754711426
0.136,1.9688315311775269,-0.46258468177499545
0.137,1.9683687151262939,-0.46601703665495275
0.138,1.9679024650034311,-0.469450056390618
0.139,1.9674327801437506,-0.4728837451700307
0.14,1.9669596598778738,-0.4763181071655119
0.141,1.966483103532248,-0.47975314653353796
0.142,1.966003110429162,-0.48318886741461403
0.143,1.9655196798867616,-0.48662527393314714
0.144,1.9650328112190665,-0.49006237019731913
0.145,1.964542503735986,-0.49350016029895943
0.146,1.9640487567433358,-0.4969386483134175
0.147,1.9635515695428538,-0.500377838299435
0.148,1.9630509414322175,-0.5038177342990179
0.149,1.9625468717050603,-0.5072583403373079
0.15,1.962039359650988,-0.5106996604224541
0.151,1.961528404555597,-0.514141698545484
0.152,1.96101400570049,-0.5175844586801748
0.153,1.9604961623632942,-0.5210279447829237
0.154,1.9599748738176785,-0.5244721607926184
0.155,1.959450139333371,-0.5279171106305075
0.156,1.9589219581761763,-0.53136279820007
0.157,1.9583903296079939,-0.5348092273868854
0.158,1.9578552528868356,-0.5382564020585027
0.159,1.9573167272668437,-0.5417043260643096
0.16,1.9567747519983092,-0.5451530032354016
0.161,1.95622932632769,-0.5486024373844501
0.162,1.9556804494976296,-0.5520526323055712
0.163,1.9551281207469755,-0.5555035917741934
0.164,1.9545723393107977,-0.5589553195469256
0.165,1.9540131044204079,-0.5624078193614244
0.166,1.953450415303378,-0.5658610949362615
0.167,1.95288427118356,-0.5693151499707905
0.168,1.952314671281104,-0.5727699881450138
0.169,1.9517416148124787,-0.5762256131194486
0.17,1.9511651009904905,-0.5796820285349937
0.171,1.9505851290243028,-0.5831392380127947
